id,Area Code,State,Market,Market Size,Profit,Margin,Sales,COGS,Total Expenses,Marketing,Inventory,Budget Profit,Budget COGS,Budget Margin,Budget Sales,ProductId,Date,Product Type,Product,Type,,,,Area Code,203,,,,,
1,203,Connecticut,East,Small Market,107,176,292,116,69,38,962,110,0,160,270,2,4/1/2010 0:00,Coffee,Columbian,Regular,,,,State,Connecticut,,,,,SELECT *
2,203,Connecticut,East,Small Market,75,135,225,90,60,29,1148,90,80,130,210,2,7/1/2010 0:00,Coffee,Columbian,Regular,,,,Market,East,,,,,FROM your_table
3,203,Connecticut,East,Small Market,122,195,325,130,73,42,1134,130,110,180,290,2,11/1/2010 0:00,Coffee,Columbian,Regular,,,,Market Size,Small Market,,,,,WHERE column1 IS NULL OR column2 IS NULL OR ...;
4,203,Connecticut,East,Small Market,105,174,289,115,69,37,1166,110,100,160,260,2,12/1/2010 0:00,Coffee,Columbian,Regular,,,,Profit,107,,,,,
5,203,Connecticut,East,Small Market,104,135,223,90,56,29,1148,90,80,130,210,2,7/1/2011 0:00,Coffee,Columbian,Regular,,,,Margin,176,,,,,
6,203,Connecticut,East,Small Market,104,135,223,90,56,29,1139,90,80,130,210,2,8/1/2011 0:00,Coffee,Columbian,Regular,,,,Sales,292,,,,,
7,203,Connecticut,East,Small Market,135,155,275,103,64,33,1130,110,90,150,240,2,9/1/2011 0:00,Coffee,Columbian,Regular,,,,COGS,116,,,,,
8,203,Connecticut,East,Small Market,171,188,334,125,73,41,1119,130,100,160,260,2,10/1/2011 0:00,Coffee,Columbian,Regular,,,,Total Expenses,69,,,,,
9,203,Connecticut,East,Small Market,181,195,346,130,73,42,1134,130,110,180,290,2,11/1/2011 0:00,Coffee,Columbian,Regular,,,,Marketing,38,,,,,
10,203,Connecticut,East,Small Market,15,31,51,20,16,5,804,20,20,30,50,13,6/1/2010 0:00,Tea,Green Tea,Regular,,,,Inventory,962,,,,,
11,203,Connecticut,East,Small Market,33,54,90,36,21,10,809,40,30,60,90,13,11/1/2010 0:00,Tea,Green Tea,Regular,,,,Budget Profit,110,,,,,
12,203,Connecticut,East,Small Market,17,28,47,19,15,5,811,20,20,30,50,13,8/1/2011 0:00,Tea,Green Tea,Regular,,,,Budget COGS,110,,,,,
13,203,Connecticut,East,Small Market,27,36,64,24,18,6,806,40,20,40,60,13,10/1/2011 0:00,Tea,Green Tea,Regular,,,,Budget Margin,160,,,,,
14,203,Connecticut,East,Small Market,49,54,96,36,21,10,809,40,30,60,90,13,11/1/2011 0:00,Tea,Green Tea,Regular,,,,Budget Sales,270,,,,,
15,203,Connecticut,East,Small Market,-2,75,128,53,77,48,597,10,50,70,120,5,6/1/2010 0:00,Espresso,Caffe Mocha,Regular,,,,ProductId,2,,,,,
